Model,MSE,RMSE,MAE,R²,Adjusted R²,MAPE
Linear Regression,18.932691223420974,4.351171247310426,3.431351839209154,0.5056447590753461,0.5037650813531991,2.7475911202127903
Lasso,27.746235176531503,5.267469523075715,4.337565558305917,0.2755125716898539,0.27275786663924506,3.4928948055627345
Ridge,19.41422953505696,4.406158137772288,3.5078143704415274,0.49307121708630375,0.4911437312197118,2.8129895122729667
Elastic Net,27.706990647176905,5.263743026324224,4.342104085809733,0.2765372933490793,0.2737864845785435,3.495947350296453
Neural Network (MLP),9.090035160216743,3.0149685172845078,2.3104177527678074,0.7626482960814618,0.7617458181197944,1.8428853682885742
